# # Measurement of Uchuu UM 3D 2-point correlation function of data in /Uchuu_xyz_sSFR_VLTS_sftz.dat by KSM on 2025-02-14
# # Random is /Uchuu_RANDxyz.dat
2.615248581546547046e-01 5.393969303576507457e+01
4.094635329285462588e-01 2.698068205013053600e+01
6.479947309735527572e-01 1.642360088864299428e+01
1.024215301858042215e+00 9.370849463469809848e+00
1.614867988950490663e+00 4.712356823738231171e+00
2.545144564722828573e+00 2.310628620922098087e+00
4.034850532636520271e+00 1.141857439398868967e+00
6.390518783493631005e+00 5.667736045060968175e-01
1.011206224309633583e+01 2.729488453961644301e-01
1.599538802636634749e+01 1.126372418319925434e-01
2.526866048415709542e+01 4.220947486170043006e-02
