# # Measurement of Uchuu UM covariance of 3D redshift-space 2PCF in 512 sub-volumes with Lbox = 250 Mpc/h by KSM on 2025-04-09
# #Averaged over LOS (X,Y,Z) and Nrand is 50xNgal
5.252184375680983067e+03 2.506728373565923960e+02 1.323751004822482855e+02 2.436825295260772251e+01 5.914767620024813155e+00 2.673577062984410446e+00 -2.325140312729943926e+00 -6.264674922143516345e-02 4.138731564633330029e-02 -1.051338409714148853e-01 -5.768463143041310803e-02
2.506728373565923960e+02 5.986587564521057629e+02 4.950343937798761118e+01 1.908056364857839426e+01 3.034312299765053123e+00 5.767330926083140685e-01 -1.505744967487558129e-02 4.306480364970930591e-02 3.674215546898826346e-02 3.129895216887116499e-02 -1.086145320932061821e-02
1.323751004822482855e+02 4.950343937798761118e+01 1.044261605971385194e+02 7.971592349502162556e+00 1.652539691491016649e+00 1.852327400556019743e-03 1.166248318305850989e-01 5.447110328709599270e-02 -2.766002575108934152e-04 3.144885543042856384e-03 -1.426399342891479863e-02
2.436825295260772251e+01 1.908056364857839426e+01 7.971592349502162556e+00 1.518858319973050186e+01 1.469773022407006691e+00 2.931533038057252405e-01 -1.092052475964350698e-02 1.549111616514441819e-02 1.378995899849076029e-02 9.905750084438395137e-03 -2.711684894575047949e-03
5.914767620024813155e+00 3.034312299765053123e+00 1.652539691491016649e+00 1.469773022407006691e+00 2.709312221606810844e+00 3.109565014570592201e-01 7.178336044539722349e-02 8.486864511364655694e-03 1.009236658024894066e-03 7.325923040945234426e-04 -4.244548438107430114e-04
2.673577062984410446e+00 5.767330926083140685e-01 1.852327400556019743e-03 2.931533038057252405e-01 3.109565014570592201e-01 4.536952365343051574e-01 5.122734129579303852e-02 8.260342795045264377e-03 3.832975280514396184e-03 1.762203651983098749e-03 6.361897925571837311e-04
-2.325140312729943926e+00 -1.505744967487558129e-02 1.166248318305850989e-01 -1.092052475964350698e-02 7.178336044539722349e-02 5.122734129579303852e-02 9.074645913208274906e-02 6.342519270256437476e-03 1.349147172259921690e-04 2.160567516357203045e-03 1.435024342892805859e-04
-6.264674922143516345e-02 4.306480364970930591e-02 5.447110328709599270e-02 1.549111616514441819e-02 8.486864511364655694e-03 8.260342795045264377e-03 6.342519270256437476e-03 1.678665934492146530e-02 1.749779386250899672e-03 1.044967250388340214e-03 5.386695631406195062e-04
4.138731564633330029e-02 3.674215546898826346e-02 -2.766002575108934152e-04 1.378995899849076029e-02 1.009236658024894066e-03 3.832975280514396184e-03 1.349147172259921690e-04 1.749779386250899672e-03 4.405626304634256349e-03 6.643044778892880390e-04 3.356298569071808954e-04
-1.051338409714148853e-01 3.129895216887116499e-02 3.144885543042856384e-03 9.905750084438395137e-03 7.325923040945234426e-04 1.762203651983098749e-03 2.160567516357203045e-03 1.044967250388340214e-03 6.643044778892880390e-04 1.317665751662474216e-03 2.990910444564241918e-04
-5.768463143041310803e-02 -1.086145320932061821e-02 -1.426399342891479863e-02 -2.711684894575047949e-03 -4.244548438107430114e-04 6.361897925571837311e-04 1.435024342892805859e-04 5.386695631406195062e-04 3.356298569071808954e-04 2.990910444564241918e-04 5.382469381785309932e-04
