# # Measurement of Uchuu UM 3D redshift-space 2PCF function in 512 sub-volumes with Lbox = 250 Mpc/h by KSM on 2025-04-09
# #Averaged over LOS (X,Y,Z) and Nrand is 50xNgal
0.000000000000000000e+00 5.876648287895119438e+01
3.409053174191358782e-01 2.953723908878396287e+01
5.323589814231441952e-01 1.650317857647761954e+01
8.164785278506846433e-01 9.327482339496290464e+00
1.647049230074943749e+00 4.597592778576933270e+00
2.487546166755749688e+00 2.287912395735069104e+00
4.001301166916883645e+00 1.107478333305347062e+00
6.447087505342606661e+00 5.441549266616805269e-01
1.005111680724259671e+01 2.549908621962456157e-01
1.597395989731174915e+01 1.065251112702035596e-01
2.523532615940661117e+01 4.562052517606740576e-02
