# # Measurement of Uchuu UM projected correlation function in 512 sub-volumes with Lbox = 250 Mpc/h by KSM on 2025-04-09
# #Averaged over LOS (X,Y,Z) and Nrand is 50xNgal
1.278534202376865325e-01 1.208291633683578539e+02
1.990765210918029604e-01 8.579208199682872760e+01
3.099757611203361463e-01 5.907166781037375358e+01
4.826534638799653831e-01 5.898201660435561422e+01
7.515244590524401413e-01 4.745046167536666104e+01
1.170174990590193698e+00 3.770941651764297120e+01
1.822042505880985264e+00 3.080098444132438118e+01
2.837044818025595827e+00 2.350935190000285147e+01
4.417472849017952896e+00 1.811574565316955443e+01
6.878307402063303044e+00 1.339170797263502521e+01
1.070999513393648783e+01 9.713206520207183559e+00
1.667619503811871340e+01 7.509716389097201628e+00
2.596597640536558060e+01 6.554214025650469289e+00
