# # Measurement of Uchuu UM projected correlation function in 512 sub-volumes with Lbox = 250 Mpc/h by KSM on 2025-04-09
# #Averaged over LOS (X,Y,Z) and Nrand is 50xNgal
1.278534202376865325e-01 nan
1.990765210918029604e-01 9.510620967801804682e+01
3.099757611203361463e-01 5.696409881776096285e+01
4.826534638799653831e-01 5.010716952529068635e+01
7.515244590524401413e-01 4.502954535610234643e+01
1.170174990590193698e+00 3.305511726615173984e+01
1.822042505880985264e+00 3.012197465857268952e+01
2.837044818025595827e+00 2.453014633299968850e+01
4.417472849017952896e+00 2.080806552337152127e+01
6.878307402063303044e+00 1.727946436419159326e+01
1.070999513393648783e+01 1.411181595984152715e+01
1.667619503811871340e+01 1.202521615044535430e+01
2.596597640536558060e+01 1.060293995932661915e+01
