# # Measurement of Uchuu UM projected correlation function of the full volume averaged over LOS by KSM on 2025-04-09
# # Nrand is 50xNgal
1.278534202376865325e-01 1.358118751454690027e+02
1.990765210918029604e-01 8.358442619120469885e+01
3.099757611203361463e-01 6.199963742415366141e+01
4.826534638799653831e-01 5.631578298175471531e+01
7.515244590524401413e-01 4.561442798422132228e+01
1.170174990590193698e+00 3.736165439840699065e+01
1.822042505880985264e+00 2.898792357258463070e+01
2.837044818025595827e+00 2.114226369770171843e+01
4.417472849017952896e+00 1.610780833914106935e+01
6.878307402063303044e+00 1.094918922356378665e+01
1.070999513393648783e+01 6.863047726800975745e+00
1.667619503811871340e+01 4.043067648209604847e+00
2.596597640536558060e+01 1.977425643591493420e+00
