# # Measurement of Uchuu UM covariance of wp in 512 sub-volumes with Lbox = 250 Mpc/h by KSM on 2025-04-09
# #Averaged over LOS (X,Y,Z) and Nrand is 50xNgal
nan nan nan nan nan nan nan nan nan nan nan nan nan
nan 6.117001748424531979e+04 9.691943346376054933e+02 -6.204223055150715709e+02 4.188897087173754841e+01 1.146023964053329564e+03 4.509129108427168262e+02 2.278273446065003611e+02 2.514108161743822620e+02 3.408021765861867607e+02 3.715354721993883231e+02 3.944264370117327303e+02 3.488340959190956028e+02
nan 9.691943346376054933e+02 1.828214887130852367e+04 3.951957670365914623e+02 1.435871678140134122e+02 -4.650866549628458912e+00 1.613512165501005597e+02 2.238725041844410555e+02 2.686888069860640940e+02 2.791340656659239130e+02 2.939874201215267817e+02 3.221994113981413079e+02 3.145167095320931594e+02
nan -6.204223055150715709e+02 3.951957670365914623e+02 7.982370668683392068e+03 4.596621889761138959e+02 3.681856732045067133e+02 3.863308019993908147e+02 3.709621627679938456e+02 3.537349660035758347e+02 3.786646246510517244e+02 3.764243246082831433e+02 3.732805492202949154e+02 3.778723943083099925e+02
nan 4.188897087173754841e+01 1.435871678140134122e+02 4.596621889761138959e+02 3.044506475973629222e+03 4.399727657846146371e+02 4.131789991601453949e+02 3.215086768495236242e+02 3.411168537987880995e+02 3.468452456529362848e+02 3.340186023730327634e+02 3.272096622859500599e+02 3.273485078050301809e+02
nan 1.146023964053329564e+03 -4.650866549628458912e+00 3.681856732045067133e+02 4.399727657846146371e+02 1.377959096255828854e+03 3.958886908872635786e+02 3.261560796076172437e+02 3.153616354138738984e+02 3.202023541328860006e+02 3.093291428176403883e+02 3.025140893130129029e+02 3.007257988127643102e+02
nan 4.509129108427168262e+02 1.613512165501005597e+02 3.863308019993908147e+02 4.131789991601453949e+02 3.958886908872635786e+02 8.422851293757083795e+02 3.071340488168485194e+02 3.018182692582379900e+02 3.197438132278472835e+02 3.124516104385749600e+02 3.224288620478532721e+02 3.157452985178825884e+02
nan 2.278273446065003611e+02 2.238725041844410555e+02 3.709621627679938456e+02 3.215086768495236242e+02 3.261560796076172437e+02 3.071340488168485194e+02 4.912735669309838045e+02 2.871009039615701113e+02 3.034269709228272518e+02 3.007334209942271741e+02 2.978192026432197395e+02 2.947914881423850488e+02
nan 2.514108161743822620e+02 2.686888069860640940e+02 3.537349660035758347e+02 3.411168537987880995e+02 3.153616354138738984e+02 3.018182692582379900e+02 2.871009039615701113e+02 3.651763926110834859e+02 2.962784127449504581e+02 2.905946919018979315e+02 2.929927237470224668e+02 2.921067291590042032e+02
nan 3.408021765861867607e+02 2.791340656659239130e+02 3.786646246510517244e+02 3.468452456529362848e+02 3.202023541328860006e+02 3.197438132278472835e+02 3.034269709228272518e+02 2.962784127449504581e+02 3.377957806906571818e+02 3.020671698133339760e+02 3.020071776206513618e+02 3.004919901757677394e+02
nan 3.715354721993883231e+02 2.939874201215267817e+02 3.764243246082831433e+02 3.340186023730327634e+02 3.093291428176403883e+02 3.124516104385749600e+02 3.007334209942271741e+02 2.905946919018979315e+02 3.020671698133339760e+02 3.125493496458047957e+02 3.006224557492376448e+02 2.991297613711824397e+02
nan 3.944264370117327303e+02 3.221994113981413079e+02 3.732805492202949154e+02 3.272096622859500599e+02 3.025140893130129029e+02 3.224288620478532721e+02 2.978192026432197395e+02 2.929927237470224668e+02 3.020071776206513618e+02 3.006224557492376448e+02 3.056165890240871477e+02 3.001109295052356742e+02
nan 3.488340959190956028e+02 3.145167095320931594e+02 3.778723943083099925e+02 3.273485078050301809e+02 3.007257988127643102e+02 3.157452985178825884e+02 2.947914881423850488e+02 2.921067291590042032e+02 3.004919901757677394e+02 2.991297613711824397e+02 3.001109295052356742e+02 3.023614294598754668e+02
