# # Measurement of Uchuu UM projected correlation function in 512 sub-volumes with Lbox = 250 Mpc/h by KSM on 2025-04-03
# #Averaged over LOS (X,Y,Z) and Nrand is 50xNgal
1.278534202376865325e-01 nan
1.990765210918029604e-01 8.305236456028880809e+01
3.099757611203361463e-01 6.217728267287396449e+01
4.826534638799653831e-01 5.324635978618530885e+01
7.515244590524401413e-01 4.393686106407655245e+01
1.170174990590193698e+00 3.613194863025671566e+01
1.822042505880985264e+00 2.787741108918821098e+01
2.837044818025595827e+00 2.069048475859473157e+01
4.417472849017952896e+00 1.471918787750659696e+01
6.878307402063303044e+00 1.008451128630656335e+01
1.070999513393648783e+01 6.508859012297340207e+00
1.667619503811871340e+01 4.032081312247480120e+00
2.596597640536558060e+01 2.648058259621221655e+00
