# # Measurement of Uchuu UM projected correlation function of data in /Uchuu_xyz_sSFR_VLTS_sftz.dat by KSM on 2025-02-14
# # Random is /Uchuu_RANDxyz.dat
1.278534202376865325e-01 2.455666155481131625e+02
1.990765210918029604e-01 6.977071457467756943e+01
3.099757611203361463e-01 5.076401329481686986e+01
4.826534638799653831e-01 4.560310231188131525e+01
7.515244590524401413e-01 3.748424976082161919e+01
1.170174990590193698e+00 2.219174156305725276e+01
1.822042505880985264e+00 2.221246908129811004e+01
2.837044818025595827e+00 1.525445194560171736e+01
4.417472849017952896e+00 1.295090693242980251e+01
6.878307402063303044e+00 8.394498730849509371e+00
1.070999513393648783e+01 5.673680238195593972e+00
1.667619503811871340e+01 3.340458027363875537e+00
2.596597640536558060e+01 1.727832559825094982e+00
